,0
"('Reason_NDC_Won', 'value_counts')","{'No Response': 901, 'People were not happy with the NPP government': 547, 'People here always vote NDC': 334, 'The NDCÂ\x92s promises were better': 271, 'He was more visible and approachable': 221, 'He was more visible and approachable, People were not happy with the NPP government': 186, 'He was more visible and approachable, The NDCÂ\x92s promises were better': 132, 'He was more visible and approachable, The NDCÂ\x92s promises were better, People were not happy with the NPP government': 126, 'The NDCÂ\x92s promises were better, People here always vote NDC': 116, 'People here always vote NDC, People were not happy with the NPP government': 98, 'The NDCÂ\x92s promises were better, People were not happy with the NPP government': 94, 'For change ': 61, 'He was more visible and approachable, People here always vote NDC': 56, 'None ': 52, 'He was more visible and approachable, People here always vote NDC, People were not happy with the NPP government': 26, ""Don't know "": 25, 'He was more visible and approachable, The NDCÂ\x92s promises were better, People here always vote NDC': 18, 'People were not happy with the NPP government, For change ': 16, 'I donÂ\x92t know ': 10, 'The NDCÂ\x92s promises were better, People here always vote NDC, People were not happy with the NPP government': 10, 'People here always vote NDC, For change ': 10, 'The NDCÂ\x92s promises were better, For change ': 9, 'Change ': 9, 'He was more visible and approachable, The NDCÂ\x92s promises were better, People here always vote NDC, People were not happy with the NPP government': 9, 'He was more visible and approachable, For change ': 7, 'Job creation ': 7, 'Luck': 5, 'For change': 5, 'DonÂ\x92t know ': 4, 'He was more visible and approachable, Job creation ': 4, 'Lack of team support ': 3, 'The NDCÂ\x92s promises were better, Job creation ': 3, ""God's work "": 2, 'People were not happy with the NPP government, Job creation ': 2, 'People here always vote NDC, Job creation ': 2, ""Adom's team didn't help "": 2, 'Kotoku factory ': 2, 'For change, job creation ': 2, 'Cha': 2, ""Don't stay here "": 1, ""People here always vote NDC, He couldn't finish all of his projects and they bought them"": 1, 'He was more visible and approachable, Sharing money ': 1, 'Breaking the 8 in Adieso is not possible ': 1, 'He was more visible and approachable, The NDCÂ\x92s promises were better, Kotoku factory ': 1, 'People here always vote NDC, None': 1, 'People were not happy with the NPP government, How he can help us in our community ': 1, ""Can't tell"": 1, 'He was capable of winning ': 1, 'Change': 1, 'We wanted change ': 1, 'Breaking the 8 is hard, economy hardship and corruption ': 1, 'The NDCÂ\x92s promises were better, ': 1, ""The NDCÂ\x92s promises were better, We based it on mahama's previous policy "": 1, 'CanÂ\x92t tell ': 1, ""We're trying him to see"": 1, 'People were not happy with the NPP government, And we wanted change ': 1, 'I wanted change ': 1, 'CanÂ\x92t tell': 1, ""People here always vote NDC, Don't know "": 1, ""Adom's boreholes are being sold"": 1, ""God's work"": 1, 'I DonÂ\x92t know ': 1, 'No idea': 1, 'Cheats ': 1, 'The leaders betrayed Adom': 1, 'The NDCÂ\x92s promises were better, Cost of living ': 1, 'The people wanted change': 1, 'The NDCÂ\x92s promises were better, Job creation, for change ': 1, 'To know how he would help the community ': 1, 'The NDCÂ\x92s promises were better, For change': 1, 'He was more visible and approachable, Kotoku factory ': 1, 'People were not happy with the NPP government, Land degrading ': 1, 'Low standard of living ': 1, 'He was more visible and approachable, For change': 1, 'People here always vote NDC, Support from team leaders': 1, 'People here always vote NDC, People were not happy with the NPP government, For change': 1, 'Campaign ': 1, 'Illiteracy ': 1, 'For peace , For change ': 1, 'Cost of living ': 1, 'For cha ': 1, 'For peace ': 1, 'For peace , change ': 1, 'For low standard of living ': 1, 'The NDCÂ\x92s promises were better, Kotoku factory ': 1, 'People were not happy with the NPP government, ': 1, 'No e': 1, 'Luck ': 1, 'For change and development ': 1, 'GodÂ\x92s will ': 1, 'He was more visible and approachable, People were not happy with the NPP government, They cheated': 1, 'He was more visible and approachable, People here always vote NDC, People were not happy with the NPP government, He decieved them': 1, 'People here always vote NDC, Illiterates ': 1, 'He was more visible and approachable, People were not happy with the NPP government, For cha, job creation ': 1, 'People here always vote NDC, For change': 1, 'Truthfulness ': 1, 'People were not happy with the NPP government, For change': 1, 'He was more visible and approachable, People were not happy with the NPP government, Try': 1, 'People here always vote NDC, His team didnÂ\x92t help ': 1, 'He was more visible and approachable, Juju': 1, ""Most of the NPP supporters didn't vote "": 1, 'Job creation': 1, 'He was more visible and approachable, The NDCÂ\x92s promises were better, People were not happy with the NPP government, Most party mrmbers didnt vote': 1, ""People were not happy with the NPP government, His team didn't help "": 1}"
"('Reason_NDC_Won', 'top_5_values')","{'No Response': 901, 'People were not happy with the NPP government': 547, 'People here always vote NDC': 334, 'The NDCÂ\x92s promises were better': 271, 'He was more visible and approachable': 221}"
"('NDC_Better_Than_NPP', 'unique_count')",73
"('NDC_Better_Than_NPP', 'value_counts')","{'No Response': 1142, 'They made stronger promises': 777, 'They focused on key issues (farming, roads, schools)': 469, 'They were better at reaching people, They made stronger promises': 350, 'They were better at reaching people': 277, 'None ': 132, 'They were better at reaching people, They made stronger promises, They focused on key issues (farming, roads, schools)': 68, 'They made stronger promises, They focused on key issues (farming, roads, schools)': 65, 'They were better at reaching people, They focused on key issues (farming, roads, schools)': 57, ""Don't know "": 17, 'I donÂ\x92t know ': 9, 'For change ': 9, 'People here always vote NDC ': 6, 'People always vote NDC here ': 5, 'Change ': 5, 'Job creation ': 3, 'They focused on key issues (farming, roads, schools), ': 3, 'They made stronger promises, They focused on key issues (farming, roads, schools), For change ': 2, 'They saved their money for future purposes ': 2, 'They focused on key issues (farming, roads, schools), Low inflation ': 2, 'CanÂ\x92t tell': 2, ""Don't stay here "": 1, 'They did both better ': 1, ""People didn't like NPP "": 1, 'Nothing much ': 1, 'They cheated': 1, 'People always vote NDC ': 1, 'I just like Drah': 1, 'Wanted change ': 1, 'They focused on key issues (farming, roads, schools), Job creation ': 1, 'They made stronger promises, For change ': 1, 'They were better at reaching people, Tribalistic ': 1, 'Market places and Roads': 1, ""God's work "": 1, 'Nothing ': 1, 'Time ': 1, 'Kotoku factory ': 1, 'They focused on key issues (farming, roads, schools), The inflation were manageable ': 1, 'DoesnÂ\x92t know': 1, 'They refused to continue the NDC unfinished projects ': 1, 'Because the economy ': 1, 'They focused on key issues (farming, roads, schools), Betrayal by NPP members': 1, 'Campaigns ': 1, 'Campaign ': 1, 'They considered future beneficiary ': 1, 'People here always vote for NDC': 1, 'People always vote NDC here': 1, ' None ': 1, 'They made stronger promises, None ': 1, 'Hardship and he started doing projects when election  time was due': 1, 'They reserved their money for future purposes ': 1, 'For change': 1, 'They were better at reaching people, People always vote NDC here ': 1, 'Non ': 1, 'They made stronger promises, They focused on key issues (farming, roads, schools), ': 1, 'They were better at reaching people, ': 1, 'They were better at reaching people, They saved their money for future purposes ': 1, 'Nope': 1, 'They were better at reaching people, He started working on projects even before elections ': 1, 'They focused on key issues (farming, roads, schools), Low standard of living ': 1, 'They made stronger promises, For change': 1, 'They focused on key issues (farming, roads, schools), For change ': 1, ""They were better at reaching people, They didn't share unnecessary money"": 1, 'They were better at reaching people, They made stronger promises, ': 1, 'Remove betting tax ': 1, 'Sharing of money ': 1, 'People wanted change ': 1, 'People here always vote NDC': 1, 'People just like them': 1, 'People always vote NDC here pp': 1, 'N': 1, 'They made stronger promises, Change ': 1, 'Cha': 1}"
"('NDC_Better_Than_NPP', 'top_5_values')","{'No Response': 1142, 'They made stronger promises': 777, 'They focused on key issues (farming, roads, schools)': 469, 'They were better at reaching people, They made stronger promises': 350, 'They were better at reaching people': 277}"
"('Best_Performing_MP', 'unique_count')",5
"('Best_Performing_MP', 'value_counts')","{'No Response': 1151, 'Frederick Adom': 996, 'Salas Mensah': 581, 'Assifu Bekoe': 516, 'Amankwanor': 210}"
"('Best_Performing_MP', 'top_5_values')","{'No Response': 1151, 'Frederick Adom': 996, 'Salas Mensah': 581, 'Assifu Bekoe': 516, 'Amankwanor': 210}"
"('Community_Name', 'unique_count')",272
"('Community_Name', 'value_counts')","{'No Response': 999, 'Asuokaw ': 127, 'Mepom ': 126, 'Asikasu ': 88, 'Krodua ': 85, 'Mepom': 82, 'Asuotwene ': 68, 'Abam': 48, 'Kwasi Nyarko ': 48, 'Abamkrom ': 40, 'Atimatim ': 39, 'Maame dede ': 39, 'Owurakesim': 38, 'Breman ': 37, 'Asuokor ': 37, 'Nyanoa ': 36, 'Okurase': 35, 'Zongo ': 34, 'Okurase ': 33, 'Kwesi yarko ': 32, 'MEPOM ': 32, 'Maame Dede': 29, 'Essaso ': 28, 'Roman quarters ': 27, 'Atohkrom ': 27, 'Krodua': 26, 'Asuokaw': 24, 'Breman': 23, 'Junction ': 23, 'Mame dede ': 22, 'Braman ': 22, 'Attorkrom ': 21, 'Owurakesim ': 21, 'Okusu': 21, 'Essaso': 20, 'Asoukaw': 19, 'Aduana ': 19, 'Yaanoa ': 18, 'Kwesi Nyarko': 18, 'Kofiman': 17, 'Cocoa market ': 17, 'Kantanyensua ': 17, 'Kumi krom ': 17, 'Water works ': 16, 'Madina': 16, 'Zongo': 15, 'Nyarnoa': 15, 'Asoutwene': 15, 'Atorman ': 15, 'Adu Kofi ': 14, 'Sukrong Bethlehem ': 14, 'Adu kofi ': 14, 'Kofi dogbe ': 14, 'Mame Dede ': 13, 'Korodua ': 13, 'Asuotwene': 13, 'Kumikrom': 13, 'Atimatim': 13, 'Odumkyere Darman ': 12, 'Yaanoa': 12, 'Madina ': 12, 'Kumikrom ': 12, 'Kwesi Nyarko ': 11, 'Roman quarters': 11, 'Odumkyere Damang ': 11, 'Adukofi ': 11, 'Nyanoa': 11, 'Bremang ': 11, 'Kwasi nyarko ': 11, 'Junction': 10, 'Atohkrom': 10, 'Obeng Yaw': 10, 'Okusu ': 10, 'Odumkyere darmang ': 10, 'Kofi kyere ': 9, 'Adeiso': 9, 'Kofi Dobge ': 9, 'Kofi Dogbey': 9, 'Adu Kofi': 9, 'Katanyensua': 8, 'Amarhkrom ': 8, 'Meet me there ': 8, 'New nation ': 8, 'Mame Dede': 8, 'Atoman ': 7, 'Asuokor': 7, 'DCE area': 7, 'Braman': 7, 'Nyarnoa ': 7, 'Atim Atim ': 7, 'Kofi Man ': 7, 'Brekusu ': 7, 'Odumkyere Darmang': 7, 'Abam ': 7, 'Esansu': 6, 'Sukrong Canaan ': 6, 'Esansu ': 6, 'Muzama ': 5, 'Asikasu': 5, 'Muzama': 5, 'Obeng Yaw ': 5, 'Salem': 5, 'Owurakese ': 5, 'Water Works ': 5, 'Amahkrom ': 5, 'Katanyensua ': 5, 'Kofi kyere': 5, 'Job creation and more infrastructure ': 4, 'Asuokoo': 4, 'Adeiso ': 4, 'Maame Dede ': 4, 'Kofi Dogbe ': 4, 'Owurakese': 4, 'madina': 4, 'Atimetim': 4, 'Brekusu lane': 4, 'asuokaw': 4, 'Ayigbe town ': 4, 'Kumi krom': 4, 'Roman ridge': 4, 'Atoman': 4, 'Korodua': 3, 'Tommy': 3, 'Teacher Ayeh': 3, 'Ahenbrom ': 3, 'Atimetim ': 3, 'Welis P': 3, 'Atorman': 3, 'Kwasi Nyarko': 3, 'Odumkyere Darmang ': 3, 'Amarhman': 3, 'Sukrong Canaan': 3, 'Odumkyeredarman': 3, 'Methodist church ': 3, 'Odum Kyere Daman ': 3, 'Ahenbrom': 3, 'Sukrong Bethlehem': 2, 'Amahkrom': 2, 'KOFI KROM ': 2, 'Name Dede ': 2, 'Police station ': 2, 'Name Dede': 2, 'Dce Area ': 2, 'As': 2, 'roman quarters': 2, 'Hospital road ': 2, 'Abamkrom': 2, 'Krowdua ': 2, 'MEPOM': 2, 'Amarhkrom': 2, 'Owurakesem ': 2, 'Kofikyere ': 2, 'KOFI MAN ': 2, 'Odumkyere Darman': 2, 'Kofi Kyere ': 2, 'Ayigbe town': 2, 'Atim Atim': 2, 'KOFI Man ': 2, 'KOFI man ': 2, 'Kantanyensua': 2, 'Teacher Aryerh ': 2, 'Atimtim': 2, 'Teacher aye': 2, 'Asuokow': 1, 'Job creation and electricity extension ': 1, 'Z': 1, 'Presby jhs ': 1, 'Kwas Nyarko ': 1, 'Sukrong canaan': 1, 'Sukurong Canaan ': 1, 'Katayensua': 1, 'Canaan ': 1, 'Sukurong Bethlehem ': 1, 'Kwesi yarko': 1, 'Nyarko Nyarko': 1, 'Kwa Nyarko ': 1, 'Atokrom': 1, 'Kofi krom': 1, 'Kofikyiri': 1, 'Kofi kyer3 ': 1, 'Attokrom': 1, 'Kofi ': 1, 'Dce Area': 1, 'Dce area ': 1, 'Kofi Dobge': 1, 'Kpfi Dogbe': 1, 'Kofi  Dogbe': 1, 'Kofi Dogbe': 1, 'Maame dede': 1, 'Make Dede': 1, 'Mame ': 1, 'Mane Dede': 1, 'Mame dede': 1, 'Kwasi ': 1, 'Kofi dobe ': 1, 'Katayensuo ': 1, 'Sukrong Kanaan ': 1, 'Sukrong Betlehem': 1, 'Katayensua ': 1, 'Owurakesi': 1, 'Hospital road': 1, 'Wilis P': 1, 'Job ': 1, 'Okuso ': 1, 'Mep': 1, 'Welis P ': 1, 'Okuso': 1, 'A': 1, 'Odom Kyere Daman': 1, 'Odumkyere darman ': 1, 'Teacher Aryeh': 1, 'Atim atim': 1, 'Adukofi': 1, 'Adu  Kofi': 1, 'Odumkyere darmang': 1, 'Teacher Ayeh ': 1, 'Network fixation and more infrastructure ': 1, 'Adu kofi': 1, 'Kumikron': 1, 'Abam krom ': 1, 'Aban krom ': 1, 'Aba': 1, 'Kumi Krom ': 1, 'Kumi ': 1, ""Roman quarter's "": 1, 'Water works': 1, 'Bremen ': 1, 'Abamkron ': 1, 'Mad': 1, 'Mepon': 1, 'Depot ': 1, 'Asuo': 1, 'Kraboa': 1, 'Kr': 1, 'Kradua': 1, 'Krowdua': 1, 'Wilis p': 1, 'Bremang': 1, 'Gyidi kokoo': 1, 'Odumkyeredarmang': 1, 'Odmyere darman ': 1, 'Odimkyere Darman ': 1, 'Owurakesem': 1, 'Owura kesim': 1, 'Teacher': 1, 'Odumkyere Damang': 1, 'Cocoa ': 1, 'Odom Kyere Daman ': 1, 'Kofi Man': 1, 'Brekusu lane ': 1, 'f Man': 1, 'Cocoa market': 1, 'Salem ': 1, 'Armah krom ': 1, 'Ayibge Town': 1, 'Amarh krom ': 1, 'Orakese ': 1, 'Esukyerema': 1, 'Brekusu': 1, 'Obeng yaw ': 1, 'O': 1, 'No idea': 1, 'Provide the needful for the community ': 1, 'Essaso u': 1, 'Okutase': 1, 'KOFI MAN': 1, 'Employment ': 1, 'KOFI Man': 1, 'Kofikyere': 1, 'Odinkyeredarman ': 1, 'Odunkyeredarman': 1, 'Odunkyeredaman ': 1}"
"('Community_Name', 'top_5_values')","{'No Response': 999, 'Asuokaw ': 127, 'Mepom ': 126, 'Asikasu ': 88, 'Krodua ': 85}"
"('Biggest_Problems', 'unique_count')",428
